Wall time,Step,Value
1555145925.8958316,0,0.05884363129734993
1555145966.754728,1,0.024188997223973274
1555145984.2431989,2,0.02010747417807579
1555146000.459589,3,0.009861888363957405
1555146016.9267797,4,0.008664579130709171
1555146033.0020382,5,0.007967723533511162
1555146049.3546424,6,0.008416162803769112
1555146065.6059005,7,0.00911830086261034
1555146081.9462922,8,0.00777317862957716
1555146098.0508888,9,0.008778218179941177
1555146144.1065283,10,0.005447938572615385
1555146165.4552493,11,0.004828071221709251
1555146186.206135,12,0.007238093297928572
1555146207.1361318,13,0.00559676019474864
1555146228.180194,14,0.006036738865077496
1555146249.2234366,15,0.004783908370882273
1555146270.2614634,16,0.00566128408536315
1555146291.2271519,17,0.005015652161091566
1555146312.4908311,18,0.004554429091513157
1555146333.600217,19,0.003106615273281932
1555146354.6260104,20,0.0042380052618682384
1555146375.7196872,21,0.004563924390822649
1555146396.582471,22,0.004487090744078159
1555146417.4930768,23,0.0045008487068116665
1555146438.4674337,24,0.00331473839469254
1555146459.7464454,25,0.003731200937181711
1555146480.714558,26,0.00372938415966928
1555146501.7140481,27,0.0036518548149615526
1555146523.1493812,28,0.00367500982247293
1555146544.1996257,29,0.0032566916197538376
