Wall time,Step,Value
1555145925.8961577,0,0.23787735402584076
1555145966.7551048,1,0.06519550830125809
1555145984.243547,2,0.05518439784646034
1555146000.463396,3,0.05521319434046745
1555146016.927116,4,0.05107513442635536
1555146033.0025122,5,0.048315148800611496
1555146049.3689492,6,0.048880260437726974
1555146065.6173759,7,0.04738666117191315
1555146081.9466817,8,0.043777309358119965
1555146098.0599883,9,0.049531374126672745
1555146144.1068413,10,0.04656480625271797
1555146165.4557195,11,0.04300956055521965
1555146186.209074,12,0.042932383716106415
1555146207.1365552,13,0.04151873663067818
1555146228.1806185,14,0.04473480209708214
1555146249.2238111,15,0.04260328412055969
1555146270.2618654,16,0.04366008937358856
1555146291.2274902,17,0.04456671327352524
1555146312.4912722,18,0.04428306594491005
1555146333.609447,19,0.04229412600398064
1555146354.6263444,20,0.04298026114702225
1555146375.7201777,21,0.04240014776587486
1555146396.5829048,22,0.04135960713028908
1555146417.4938886,23,0.042224932461977005
1555146438.467875,24,0.04294358938932419
1555146459.7468326,25,0.040468305349349976
1555146480.7148647,26,0.04322083666920662
1555146501.714426,27,0.043604765087366104
1555146523.1497996,28,0.04108991101384163
1555146544.2018604,29,0.03890907019376755
