Wall time,Step,Value
1555145925.8958464,0,0.23805992305278778
1555145966.754766,1,0.06916715949773788
1555145984.2432327,2,0.03770885244011879
1555146000.4596243,3,0.03320222720503807
1555146016.9268138,4,0.025569651275873184
1555146033.0020924,5,0.0223285723477602
1555146049.3546736,6,0.021674450486898422
1555146065.605955,7,0.016426948830485344
1555146081.9463143,8,0.014432302676141262
1555146098.0509164,9,0.012287120334804058
1555146144.106552,10,0.005165284965187311
1555146165.4552727,11,0.0029533167835325003
1555146186.2061615,12,0.0035960746463388205
1555146207.1361563,13,0.00339224049821496
1555146228.1802197,14,0.003071376821026206
1555146249.2234592,15,0.002898427192121744
1555146270.261486,16,0.0024295877665281296
1555146291.227176,17,0.0026804760564118624
1555146312.4908578,18,0.002303735353052616
1555146333.600241,19,0.002072099130600691
1555146354.6260338,20,0.0020008122082799673
1555146375.7197018,21,0.002036205492913723
1555146396.582492,22,0.0016885352088138461
1555146417.4931018,23,0.0017049077432602644
1555146438.467449,24,0.001703684451058507
1555146459.7464685,25,0.0017300122417509556
1555146480.7145722,26,0.0015977243892848492
1555146501.7140913,27,0.0016295500099658966
1555146523.149396,28,0.0016334096435457468
1555146544.199653,29,0.001370738260447979
