Wall time,Step,Value
1555145925.8957922,0,0.8498612642288208
1555145966.754625,1,0.21050484478473663
1555145984.2430987,2,0.15502069890499115
1555146000.4594965,3,0.12494108825922012
1555146016.92669,4,0.10865314304828644
1555146033.0019383,5,0.10460422188043594
1555146049.354553,6,0.09860452264547348
1555146065.6058133,7,0.09260760992765427
1555146081.9462326,8,0.08082424104213715
1555146098.0507932,9,0.08441070467233658
1555146144.1064613,10,0.0654793232679367
1555146165.455173,11,0.0559738390147686
1555146186.206057,12,0.058753885328769684
1555146207.136055,13,0.054506368935108185
1555146228.1801164,14,0.056828342378139496
1555146249.2233677,15,0.054128218442201614
1555146270.2613914,16,0.0543588288128376
1555146291.2270803,17,0.055567417293787
1555146312.4907415,18,0.05332482233643532
1555146333.600145,19,0.049563392996788025
1555146354.6259418,20,0.051116764545440674
1555146375.719643,21,0.05088123306632042
1555146396.5824053,22,0.04906722530722618
1555146417.4929998,23,0.050102971494197845
1555146438.4673882,24,0.0495210699737072
1555146459.7463734,25,0.047404877841472626
1555146480.7145152,26,0.04986609145998955
1555146501.7139752,27,0.050292957574129105
1555146523.1493368,28,0.04780501872301102
1555146544.1995394,29,0.04471730813384056
